show_id,type,title,release_year,rating,duration,listed_in
s179,Movie,The Interview,2014,R,112 min,"Action & Adventure, Comedies"
s180,Movie,The Nutty Professor,1996,PG-13,95 min,"Comedies, Romantic Movies"
s181,Movie,The Nutty Professor II: The Klumps,2000,PG-13,107 min,"Comedies, Romantic Movies"
s182,TV Show,Turning Point: 9/11 and the War on Terror,2021,TV-14,1 Season,Docuseries
s183,Movie,Welcome Home Roscoe Jenkins,2008,PG-13,114 min,Comedies
s184,Movie,In the Line of Fire,1993,R,129 min,"Action & Adventure, Classic Movies"
s185,TV Show,Sparking Joy,2021,TV-PG,1 Season,Reality TV
s186,Movie,Untold: Crime & Penalties,2021,TV-MA,86 min,"Documentaries, Sports Movies"
s187,TV Show,Hometown Cha-Cha-Cha,2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
s188,TV Show,The Ingenuity of the Househusband,2021,TV-G,1 Season,"International TV Shows, TV Comedies"
s189,Movie,2 Alone in Paris,2008,TV-MA,97 min,"Comedies, International Movies"
s190,TV Show,Bread Barbershop,2020,TV-Y,2 Seasons,"Kids' TV, TV Comedies"
s191,Movie,Thimmarusu,2021,TV-14,125 min,"Dramas, International Movies"
s192,Movie,Wind River,2017,R,107 min,"Dramas, Independent Movies"
s193,Movie,C Kkompany,2008,TV-14,127 min,"Action & Adventure, Comedies, International Movies"
s194,TV Show,D.P.,2021,TV-MA,1 Season,"International TV Shows, TV Dramas"
s195,TV Show,Deadly Sins,2002,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas"
s196,Movie,EMI: Liya Hai To Chukana Padega,2008,TV-14,128 min,"Comedies, Dramas, International Movies"
s197,Movie,He's All That,2021,TV-14,92 min,"Comedies, Romantic Movies"
s198,TV Show,I Heart Arlo,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies"
s199,TV Show,King of Boys: The Return of the King,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
s200,Movie,Koi Aap Sa,2006,TV-14,135 min,"Comedies, Dramas, International Movies"
